단어,점수
당황해하다,-1.0
대가,1.0
대강대강,-1.0
대견하고,1.0
대꾸하는,-1.0
대단하거나,2.0
대단하고,2.0
대단하다,2.0
대단한,2.0
대담하고,1.0
대들다,-2.0
대립으로,-1.0
대립하는,-1.0
대상,1.0
대접,1.0
대접하기,1.0
대접하는,1.0
대접함,1.0
대중없이,-1.0
대충대충,-1.0
대충하다,-1.0
더들다,0.0
더듬는,0.0
더디거나,-1.0
더디다,-1.0
더딘,-1.0
더러운,-2.0
더러움,-2.0
더러워,-2.0
더러워져서,-2.0
더러워지거나,-2.0
더러워지다,-2.0
더러워진,-2.0
더럽게,-2.0
더럽고,-2.0
더럽다,-2.0
더럽혀서,-2.0
더럽혀진,-2.0
더럽히는,-2.0
더럽히다,-2.0
더부룩이,-2.0
더부룩하고,-2.0
더부룩하다,-2.0
더부룩하면서,-1.0
더부룩하여,-1.0
더없이,1.0
더하다,1.0
덕을,2.0
덕이라는,2.0
덕행을,2.0
덕행이,2.0
덜렁거리며,-1.0
덤벼들어,-2.0
덤비거나,-2.0
덤비다,-2.0
덥거나,-1.0
덥다,-1.0
덧나다,-1.0
데면데면하게,-1.0
데면데면하다,-1.0
데면데면함,-1.0
도덕적,2.0
도도하게,0.0
도둑,-1.0
도둑질하다,-2.0
도둑질한,-2.0
도리,1.0
도망하는,-1.0
도살되다,-1.0
도살하다,-1.0
도와주다,1.0
도외시하다,-1.0
도움,1.0
도적질,-1.0
독감,-1.0
독보적,1.0
독사,-2.0
독살스러운,-2.0
독이,-2.0
독차지함,-2.0
독창적,2.0
독창적인,2.0
독특하다,1.0
독하거나,-2.0
독한,-2.0
돋는다,1.0
돋보이다,1.0
돋우다,1.0
돌겠네,-2.0
돌머리,-1.0
돕다,2.0
동경하고,2.0
동기부여하다,1.0
동통,-1.0
되거나,-1.0
되바라지게,-2.0
되지못한,-2.0
되찾는,1.0
두근거리다,1.0
두드러지다,1.0
두려운,-2.0
두려움,-2.0
두려움으로,-2.0
두려움을,-2.0
두려움이나,-2.0
두려워,-2.0
두려워서,-2.0
두려워하는,-2.0
두려워하다,-1.0
두려워하여,-2.0
두려워함,-2.0
두렵거나,-2.0
두렵고,-2.0
두렵다,-2.0
두창을,-2.0
두텁다,1.0
두통,-2.0
두통이나,-1.0
둔하게,-1.0
둔하고,-1.0
둔하다,-1.0
둔한,-1.0
뒤끓다,-2.0
뒤떨어져,-2.0
뒤떨어지거나,-2.0
뒤섞거나,-1.0
뒤숭숭하게,-1.0
뒤숭숭하다,-1.0
뒤숭숭한,-1.0
뒤숭숭함,-1.0
뒤얽혀,-1.0
뒤얽히게,-1.0
뒤엉키어,-1.0
뒤척거리다,-1.0
뒤틀리다,-2.0
뒤틀리어서,-2.0
뒷거래하다,-1.0
드높은,1.0
드센,-1.0
득템,2.0
든든하고,2.0
든든하다,2.0
든든히,2.0
듣보잡,-1.0
들끓다,-2.0
들뜬,1.0
들볶거나,-1.0
들볶다,-1.0
들어맞다,2.0
따가운,-1.0
따가울,-1.0
따금대다,-1.0
따끔거리는,-1.0
따끔따끔히,-1.0
따끔하게,-1.0
따끔히,-1.0
따돌림을,-2.0
따뜻이,2.0
따뜻하게,2.0
따뜻하고,2.0
따뜻하다,2.0
따뜻하며,2.0
따뜻하여,2.0
따뜻한,2.0
따름,1.0
따분하고,-1.0
따지고,-1.0
따지며,-1.0
딱딱대다,-1.0
딱하거나,-1.0
딱하게,-1.0
딱하고,-2.0
딱하다,-2.0
딱하여,-2.0
딱한,-2.0
딱함,-2.0
딴전을,-1.0
딸바보,1.0
때가,-1.0
때나,-1.0
때려,-1.0
때려서,-1.0
때리는,-1.0
때림을,-1.0
떠넘기려고,-1.0
떠드는,-1.0
떠들거나,-1.0
떠들다,-1.0
떠들며,-1.0
떠들썩대다,-1.0
떠들썩하게,0.0
떠들썩하다,-1.0
떠들어,-1.0
떠들어서,-1.0
떠벌리다,-2.0
떡실신,-2.0
떨구다,-1.0
떨다,-1.0
떨림,-1.0
떨며,-1.0
떨어지다,-1.0
떨어트리다,-1.0
떳떳하게,1.0
떳떳하고,2.0
떳떳하다,2.0
떳떳한,2.0
또라이,-2.0
또랑또랑하여,2.0
또렷또렷,1.0
또렷또렷하다,1.0
또렷또렷한,1.0
또렷이,1.0
또렷하다,1.0
또렷한,1.0
또박또박하게,1.0
똑똑하고,2.0
똑똑하다,2.0
똑똑한,2.0
똑바르다,2.0
똘똘히,2.0
똥꼬충,-2.0
똥똥하게,-1.0
똥똥한,-1.0
뚜렷하게,1.0
뚜렷하고,1.0
뚜렷하다,1.0
뚜렷하여,1.0
뚝둑하고,-1.0
뚫어트리다,1.0
뚱뚱하다,-1.0
뚱뚱한,-1.0
뛰어나,2.0
뛰어나거나,2.0
뛰어나게,2.0
뛰어나고,2.0
뛰어나다,2.0
뛰어나다는,2.0
뛰어난,2.0
뛰어남,2.0
뛰어넘다,1.0
뜨겁다,0.0
뜨끔거리는,-1.0
뜨끔뜨끔히,-1.0
뜨끔하게,-1.0
뜨뜻하고,1.0
뜻깊은,2.0
띠꾸,-2.0
로맨티시즘,1.0
루머,-1.0
리즈시절,1.0
마땅하고,2.0
마맛자국이,-1.0
마비,-1.0
마비되거나,-1.0
마비되는,-2.0
마비에서,-1.0
마스터피스,2.0
마약,-1.0
마음대로,0.0
마이너스,-2.0
마지못하여,-1.0
마지못해,-1.0
마초맨,1.0
막되게,-2.0
막되다,-2.0
막되어,-2.0
막막하게,-2.0
막막하다,-2.0
막연하다,-2.0
막혀,-2.0
막히는,-2.0
막히다,-2.0
막힘없이,2.0
만만한,-1.0
만족,2.0
만족과,2.0
만족스러운,2.0
만족스럽거나,2.0
만족스럽게,2.0
만족스럽다,2.0
만족시키는,2.0
만족하는,2.0
만족하다,2.0
만족한,2.0
만족할,2.0
만족함,2.0
많다,2.0
많음,1.0
말끔하게,2.0
말끔하고,2.0
말끔하다,2.0
말끔하여,2.0
말끔한,2.0
말끔히,2.0
말다툼하다,-2.0
말대꾸하다,-2.0
말대답을,-2.0
말똥말똥,1.0
말라서,-1.0
말라죽은,-2.0
말라죽을,-2.0
말썽을,-1.0
말썽이,-1.0
말쑥하고,2.0
말쑥하다,2.0
말없이,-1.0
말짱하게,2.0
말짱하다,2.0
맑거나,2.0
맑게,2.0
맑고,2.0
맑다,2.0
맑다는,2.0
맑아지는,2.0
맑은,2.0
맛깔나다,1.0
맛깔스럽게,2.0
맛없다,-1.0
맛없이,-1.0
맛있게,2.0
맛있는,2.0
맛있다,2.0
맛집,2.0
망그러지다,-1.0
망상,-2.0
망설여지며,-1.0
망설이거나,-1.0
망설이고,-1.0
망설이기만,-1.0
망설이는,-1.0
망설이다,-1.0
망설이며,-1.0
망신,-2.0
망신스러운,-2.0
망실,-1.0
망실하다,-1.0
망치다,-2.0
망하는,-2.0
망하다,-2.0
망할,-2.0
맞거나,-1.0
맞추어,1.0
매끄러운,1.0
매끄러워서,1.0
매끄럽고,1.0
매끄럽다,1.0
매끈둥대다,1.0
매끈하게,1.0
매독,-2.0
매독균의,-2.0
매력에,1.0
매력있다,2.0
매력적이다,2.0
매력적인,1.0
매로,-1.0
매료되어,1.0
매몰차게,-2.0
매몰차고,-2.0
매스껍고,-2.0
매슥매슥하여,-2.0
매여,-1.0
매질을,-2.0
맥없게,-2.0
맥없는,-2.0
맥없이,-2.0
맵짜게,-1.0
맵짜다,-1.0
맹세하다,1.0
머리가,0.0
머뭇거리거나,-1.0
머뭇거리게,-1.0
머뭇거리는,-1.0
머뭇거리다,-1.0
머뭇거리며,-1.0
머뭇대다,-1.0
머뭇머뭇하거나,-1.0
머뭇머뭇하는,-1.0
머뭇하다,-1.0
머저리,-2.0
먹튀,-1.0
먼지,-1.0
멀건,-1.0
멀겋게,-1.0
멀겋다,-1.0
멀끔하게,2.0
멀끔하다,2.0
멀끔한,2.0
멀끔히,2.0
멀리하다,-1.0
멀리함,-1.0
멀쑥하게,1.0
멀쑥하다,1.0
멀쑥한,1.0
멀쩡하다,1.0
멈칫하거나,-1.0
멋들어지게,2.0
멋스러운,2.0
멋스럽다,2.0
멋없다,-2.0
멋없이,-2.0
멋을,2.0
멋이나,2.0
멋있거나,2.0
멋있는,2.0
멋있다,2.0
멋쟁이,2.0
멋지게,2.0
멋지고,2.0
멋지다,2.0
멋진,1.0
멋쩍거나,-1.0
멋쩍고,-1.0
멋쩍다,-1.0
멋쩍은,-1.0
멋쩍음,-1.0
멍청이,-2.0
멍청하거나,-2.0
멍청하고,-2.0
멍청하다,-2.0
멍청한,-2.0
멍하고,-1.0
멍한,-1.0
메말라,-2.0
메스꺼움,-2.0
메스꺼워,-2.0
메스껍고,-2.0
메스껍다,-2.0
메슥메슥하여,-2.0
메슥메슥한,-2.0
멘붕,-2.0
면색여토하다,-2.0
면직을,-1.0
멸망시키다,-2.0
멸망함,-2.0
멸명되다,-2.0
멸시,-2.0
멸시감,-2.0
멸시당하는,-2.0
멸시되다,-2.0
멸시하거나,-2.0
멸시하다,-2.0
멸여,-2.0
멸여되다,-2.0
멸여하다,-2.0
명랑하고,2.0
명랑하다,2.0
명량하고,2.0
명량하다,2.0
명량한,2.0
명성,2.0
명예,2.0
명예로운,2.0
명예롭다,1.0
명예훼손,-1.0
명존세,-2.0
명쾌하다,2.0
명쾌한,1.0
명쾌함,1.0
모략,-1.0
모르거나,-1.0
모르는,-1.0
모범으로,2.0
모순,-1.0
모순되다,-1.0
모순된,-1.0
모시,-1.0
모양,0.0
모욕,-2.0
모욕을,-2.0
모자라거나,-1.0
모자라기는,-1.0
모자라는,-1.0
모자라다,-1.0
모자라서,-1.0
모자란,-1.0
모진,-2.0
모질게,-2.0
모질고,-2.0
모질다,-2.0
모짊,-2.0
모호하거나,-1.0
모호하게,-1.0
모호하다,-1.0
모호하여,-1.0
몰래,-1.0
몰아대거나,-1.0
몰아대다,-1.0
몰아붙이듯이,-2.0
몰아세우다,-1.0
몰아쳐서,-2.0
몰인정,-1.0
몸보신하다,1.0
몸살,-1.0
몸살나다,-2.0
몸져눕게,-2.0
몸져눕는,-2.0
몸짱,1.0
몹쓸,-2.0
못나게,-2.0
못나고,-2.0
못난,-2.0
못난이,-2.0
못남,-2.0
못났다,-2.0
못되게,-2.0
못된,-2.0
못마땅하거나,-2.0
못마땅하게,-2.0
못마땅하다,-2.0
못마땅하며,-2.0
못마땅하여,-2.0
못마땅한,-2.0
못마땅할,-2.0
못마땅해하면서,-2.0
못살게,-2.0
못생겨서,-2.0
못생겼다,-2.0
못생기다,-2.0
못생긴,-1.0
못생김,-2.0
못하거나,-2.0
못하게,-2.0
못하겠다고,-2.0
못하고,-2.0
못하다,-2.0
못하던,-1.0
못하도록,-1.0
못하여,-1.0
못한,-1.0
못함을,-1.0
무가치,-1.0
무가치하고,-2.0
무겁다,-1.0
무관심,-1.0
무관심하다,-2.0
무관심한,-1.0
무궁무진하다,1.0
무기력,-2.0
무기력하다,-1.0
무기력한,-2.0
무기력함,-1.0
무너뜨리다,-2.0
무너지게,-2.0
무너지는,-2.0
무너지다,-2.0
무너짐,-2.0
무뇌충,-2.0
무능력,-1.0
무능하다,-1.0
무능한,-1.0
무단결석,-2.0
무더위로,-2.0
무디다,-2.0
무뚝뚝하다,-1.0
무례하다,-2.0
무례한,-2.0
무례함,-2.0
무료로,1.0
무리하게,-1.0
무리하다,-1.0
무모하다,-1.0
무모한,-1.0
무분별한,-2.0
무사히,1.0
무서운,-2.0
무서울,-2.0
무서움,-2.0
무서움을,-2.0
무서워,-2.0
무서워서,-2.0
무서워하는,-2.0
무서워하여,-2.0
무섭거나,-2.0
무섭고,-2.0
무섭기까지,-2.0
무섭다,-2.0
무시당하다,-2.0
무시하다,-1.0
무안을,-2.0
무안하거나,-2.0
무안하고,-2.0
무의미하게,-2.0
무의미하다,-2.0
무의미한,-1.0
무의하다,-2.0
무자비하다,-2.0
무자비한,-1.0
무정한,-2.0
무지근한,-1.0
무지러져서,-1.0
무지하고,-2.0
무질서하게,-2.0
무질서하고,-2.0
무질서한,-2.0
무책임,-2.0
무책임하다,-2.0
무탈하다,2.0
무편무당하다,1.0
무한이기주의,-1.0
무해하다,2.0
무해한,1.0
무효로,-1.0
문드러져,-1.0
문드러지다,-1.0
문란하게,-2.0
문란하여진,-1.0
문맹,-1.0
물러나다,-1.0
물러서거나,-1.0
물리거나,-1.0
물어뜯거나,-1.0
물집,-1.0
므흣하다,1.0
미개하다,-1.0
미개하여,-2.0
미개한,-2.0
미끄러운,1.0
미끈하다,1.0
미덥지,0.0
미띤,-1.0
미련이,-2.0
미련하거나,-2.0
미련하고,-2.0
미련하다,-2.0
미련하여,-2.0
미련한,-2.0
미루거나,-1.0
미루다,-1.0
미묘하여,1.0
미세함,1.0
미소,2.0
미숙하다,-1.0
미숙하여,-1.0
미숙한,-1.0
미안하게,-1.0
미안하고,-1.0
미안하다,-1.0
미안하여,-1.0
미안함,-1.0
미약하다,-1.0
미운,-2.0
미움을,-2.0
미워하고,-2.0
미워하는,-2.0
미워하다,-2.0
미워할,-2.0
미워함,-2.0
미워함을,-2.0
미워해,-2.0
미인,2.0
미천한,-2.0
미치겠다,-2.0
미친,-2.0
미친개의,-1.0
미혹한,-2.0
믿고,1.0
믿다,1.0
믿음,1.0
믿음성,2.0
믿음을,1.0
믿음직스러운,2.0
믿음직스러워,2.0
믿음직스럽게,2.0
믿음직스럽고,2.0
믿음직스럽다,2.0
믿음직하고,2.0
믿음직할,2.0
밀려나다,-1.0
밉게,-2.0
밉다,-2.0
밉살스러운,-2.0
밉살스럽게,-2.0
밉살스럽고,-2.0
밋밋하다,-1.0
바라거나,0.0
바라는,0.0
바라진,-1.0
바람직스럽다,2.0
바람직하다,2.0
바람직한,2.0
바래서,-1.0
바로잡다,1.0
바르거나,2.0
바르게,2.0
바르고,2.0
바르다,2.0
바르며,2.0
바른,2.0
바보,-2.0
바보같이,-1.0
바쁘게,-1.0
바이러스,-1.0
바지직대다,-1.0
박복함,0.0
박약,-1.0
박탈되고,-2.0
박탈되어,-2.0
박탈하고,-2.0
박탈하다,-2.0
박탈하여,-2.0
박할,-2.0
박할하다,-2.0
반가운,2.0
반갑다,2.0
반기다,2.0
반대하거나,-2.0
반대하다,-2.0
반드러운,2.0
반드럽게,2.0
반드럽다,2.0
반드르르하다,2.0
반들반들,1.0
반들반들하다,1.0
반듯하게,1.0
반듯하고,1.0
반란,-2.0
반반하게,-2.0
반발하다,-2.0
반벙어리처럼,-1.0
반성하고,1.0
반신불수가,-2.0
반역,-2.0
반역을,-2.0
반품남,-1.0
반품녀,-1.0
반하다,1.0
반항하다,-2.0
반항하려는,-2.0
반항하여,-2.0
반해버리다,1.0
반했다,1.0
받다,1.0
받아들이기는커녕,-2.0
발길질을,-1.0
발끈대다,-2.0
발달된,1.0
발라서,1.0
발랄하다,2.0
발연기,-1.0
발열,-1.0
발열과,0.0
발열이,0.0
발작,-2.0
발전,1.0
발전되도록,1.0
발전시키는,1.0
발전이나,1.0
발전하는,1.0
발전하다,1.0
발컨,-1.0
밝게,2.0
밝고,2.0
밝다,2.0
밝아서,2.0
밝은,2.0
방긋,2.0
방긋방긋,2.0
방자하고,-1.0
방자한,-1.0
방정,-2.0
방정맞게,-2.0
방정맞고,-2.0
방정맞은,-2.0
방치되다,-1.0
방탕하게,-2.0
방탕하고,-2.0
방탕하다,-1.0
방탕한,-2.0
방해가,-2.0
방해하거나,-2.0
방해하는,-2.0
방해하다,-2.0
방해하던,-2.0
방해하여,-2.0
방해함,-2.0
배반하다,-2.0
배반함,-2.0
배신하다,-2.0
배신하여,-2.0
배우는,0.0
배우다,1.0
배워지고,0.0
배은망덕,-2.0
배척되다,-2.0
배척하다,-2.0
배탈,-2.0
버겁다,-2.0
버그러져,-2.0
버그러진,-2.0
버려두어,-2.0
버려지다,-2.0
버릇,0.0
버릇없게,-2.0
버릇없고,-2.0
버릇없는,-2.0
버릇없이,-2.0
버리다,-2.0
버린다는,-2.0
버성기어,-1.0
버젓하지,0.0
버프,1.0
벅차다,0.0
번거로운,-2.0
번거롭게,-2.0
번거롭다,-2.0
번드럽게,0.0
번드럽다,0.0
번듯이,1.0
번듯하게,1.0
번듯하고,1.0
번지르르하게,0.0
번창한,2.0
번하다,1.0
벌로,-2.0
벌받을,-2.0
벌을,0.0
범인,-2.0
범죄,-2.0
범죄로,-2.0
범죄를,-2.0
범죄에,-2.0
범죄자,-1.0
범죄자들의,-2.0
범죄적인,-2.0
벗어나,-1.0
벗어나다,-1.0
벙글거리며,0.0
벙긋,2.0
벙긋벙긋,2.0
벙벙한,-1.0
베푸는,1.0
베풀거나,1.0
베풀다,1.0
베풀어,1.0
베풀어서,1.0
베풀어져,1.0
베풀어지다,1.0
벼르다,-1.0
변덕스러워,-1.0
변변찮은,-2.0
변비,-1.0
변비증,-1.0
변사하다,-2.0
변태,-1.0
변함없이,1.0
별로다,-1.0
별스러울,-1.0
별스러워,-1.0
볍신,-2.0
병독,-2.0
병든,-2.0
병들거나,-2.0
병들어,-2.0
병맛,-1.0
병세가,-2.0
병신이나,-2.0
병에서,-2.0
병으로,-2.0
병을,-2.0
병이,-2.0
병이나,-2.0
병이다,-2.0
병적으로,-2.0
병적인,-2.0
병증,-2.0
병증으로,-2.0
병증을,-2.0
병치레를,-1.0
보답이,1.0
보답하는,1.0
보드라운,1.0
보드랍게,1.0
보드랍고,1.0
보드랍다,1.0
보람,1.0
보람이나,1.0
보로통히,-1.0
보배,1.0
보살피거나,1.0
보살피다,1.0
보송보송,1.0
보송보송하다,1.0
보수적,-1.0
보수적이다,-1.0
보잘것없거나,-2.0
보잘것없고,-2.0
보잘것없는,-2.0
보잘것없다,-2.0
보잘것없음,-2.0
보잘것없이,-2.0
보채거나,-1.0
보채는,-1.0
보채다,-1.0
보챔,-1.0
보충하다,1.0
보탬이,1.0
보호하여,1.0
복된,2.0
복리,2.0
복리를,1.0
복스럽고,2.0
복을,2.0
복이나,2.0
복잡하거나,-1.0
복잡하게,-1.0
복잡하고,-1.0
복잡하다,-1.0
복잡하여,-1.0
복종하다,-1.0
복종하면서,-1.0
복종함,-1.0
복통을,-2.0
볶아치는,-1.0
볶아치다,-1.0
볼매,1.0
볼쌍사납게,-2.0
볼썽사납게,-2.0
볼품없이,-2.0
봄날의,1.0
봉변,-2.0
부귀한,2.0
부글거리는,-1.0
부글거리다,-1.0
부끄러운,-1.0
부끄러움,-1.0
부끄러움을,-1.0
부끄러워서,-1.0
부끄러워지다,-1.0
부끄러워하는,-1.0
부끄러워하다,-1.0
부끄러워함,-1.0
부끄러이,-1.0
부끄럽게,-1.0
부끄럽다,-1.0
부담,-2.0
부담스러운,-2.0
부담스럽다,-2.0
부당하거나,-2.0
부당하게,-2.0
부당하다,-1.0
부당한,-1.0
부도덕,-2.0
부도덕한,-1.0
부드러우며,1.0
부드러우면서,1.0
부드러운,1.0
부드러워지게,1.0
부드럽게,1.0
부드럽고,1.0
부드럽다,1.0
부득기소,-1.0
부득기소하다,-1.0
부딪치거나,-1.0
부러뜨리다,-1.0
부러운,1.0
부러워함,1.0
부러지다,-2.0
부럽다,-1.0
부르르,0.0
부르르하다,0.0
부산을,-1.0
부산하게,-1.0
부산한,-1.0
부상,-2.0
부서지거나,-1.0
부서지다,-2.0
부스럼,-1.0
부스럼이나,-1.0
부스스한,-1.0
부실하게,-1.0
부심,-1.0
부인하다,-2.0
부자,1.0
부자연스러운,-1.0
부자연스러움,-2.0
부자연스럽게,-1.0
부자연스럽다,-2.0
부작용,-2.0
부작용이,-2.0
부적격,-2.0
부적당한,-1.0
부적절하다,-2.0
부적절한,-1.0
부정,-1.0
부정어와,-2.0
부정을,-2.0
부정이나,-2.0
부정적,-2.0
부정적인,-2.0
부정직,-2.0
부정하거나,-2.0
부정하는,-2.0
부정하다,-2.0
부정하며,-2.0
부정하여,-2.0
부정행위,-1.0
부정확하다,-1.0
부정확한,-1.0
부조리,-2.0
부조화,-2.0
부족,-1.0
부족이나,-1.0
부족하거나,-1.0
부족하다,-1.0
부족하며,-1.0
부족하여,-1.0
부족한,-2.0
부족함이,-1.0
부주의로,-1.0
부주의한,-1.0
부지런,2.0
부지런스럽다,2.0
부지런스레,2.0
부지런하고,2.0
부지런하다,2.0
부지런히,2.0
부진,-2.0
부진증,-1.0
부진하다,-2.0
부질없다,-2.0
부질없이,-2.0
부추겨서,-1.0
부추기는,-1.0
부패하다,-1.0
부패한,-1.0
분개하다,-2.0
분개하여,-2.0
분개할,-2.0
분격,-2.0
분격하다,-2.0
분나,-2.0
분나하다,-2.0
분노,-2.0
분노나,-2.0
분노하다,-2.0
분노함,-2.0
분란,-1.0
분란통,-1.0
분란하다,-1.0
분명하게,1.0
분명하고,1.0
분명하다,1.0
분명한,1.0
분발하여,0.0
분별없이,-1.0
분수없이,-2.0
분에,-2.0
분에하다,-2.0
분열병,-1.0
분이나,-2.0
분탄하다,-2.0
분탕,-2.0
분탕질,-2.0
분통,-2.0
분통스럽다,-2.0
분풀이,-2.0
분풀이하다,1.0
분하거나,-2.0
분하게,-2.0
분하고,-2.0
분하다,-2.0
분하여,-2.0
분한,-2.0
분함,-2.0
불건전,-2.0
불건전한,-2.0
불결하다,-2.0
불결한,-2.0
불경기,-2.0
불균형,-2.0
불길하거나,-2.0
불길하다,-2.0
불길한,-2.0
불량,-2.0
불량배가,-2.0
불량자가,-2.0
불량패,-1.0
불량하다,-2.0
불량한,-2.0
불량화소,-2.0
불리하다,-1.0
불리한,-2.0
불만,-2.0
불만감,-2.0
불만스러운,-2.0
불만스럽거나,-2.0
불만스럽게,-2.0
불만스럽다,-2.0
불만스레,-2.0
불만으로,-2.0
불만을,-2.0
불만이,-2.0
불만족,-2.0
불만족스러운,-2.0
불만족스럽다,-2.0
불만족스레,-2.0
불만족하다,-2.0
불만투성이,-2.0
불만하다,-2.0
불면병,-1.0
불면증,-2.0
불명예,-2.0
불명예스러운,-1.0
불법,-2.0
불법으로,-2.0
불법이다,-2.0
불법적으로,-2.0
불법체류,-2.0
불성실,-1.0
불순물이,-1.0
불신,-2.0
불신의,-2.0
불신하다,-1.0
불쌍하게,-2.0
불쌍하고,-2.0
불쌍하다,-2.0
불쌍하여,-2.0
불쌍한,-2.0
불쌍함,-2.0
불쌍히,-2.0
불안,-2.0
불안감,-2.0
불안스럽다,-2.0
불안전성,-2.0
불안정하게,-2.0
불안정한,-2.0
불안하게,-2.0
불안하다,-2.0
불안하여,-2.0
불안한,-2.0
불안할,-1.0
불안해하고,-1.0
불안해하는,-2.0
불안히,-2.0
불운,-1.0
불충분,-2.0
불충분하거나,-2.0
불충분하다,-2.0
불충분한,-2.0
불치병,-2.0
불쾌감,-2.0
불쾌감이,-2.0
불쾌스럽다,-2.0
불쾌스레,-2.0
불쾌하게,-2.0
불쾌하다,-2.0
불쾌하다고,-2.0
불쾌한,-2.0
불쾌히,-2.0
불편,-2.0
불편리,-2.0
불편리하다,-2.0
불편부당,1.0
불편부당하다,1.0
불편스럽다,-2.0
불편스레,-2.0
불편하거나,-2.0
불편하게,-2.0
불편하고,-2.0
불편하다,-2.0
불편하며,-2.0
불편하여,-2.0
불편한,-2.0
불편할,-2.0
불편함,-2.0
불평,-2.0
불평등,-2.0
불평등하다,-2.0
불평등한,-1.0
불평스러워,-2.0
불평스럽게,-2.0
불평을,-2.0
불평이나,-2.0
불평조의,-2.0
불평판,-2.0
불평하는,-2.0
불평하다,-2.0
불합격한,-2.0
불합리,-2.0
불행,-1.0
불행을,-2.0
불행하거나,-2.0
불행하게,-2.0
불행하다,-2.0
불행한,-2.0
불협화음,-2.0
불화,-2.0
불황,-2.0
불효,-2.0
붉으락푸르락하여지며,-1.0
붉으락푸르락해지며,-1.0
붓고,-1.0
붙임성,1.0
비관적,-2.0
비관적인,-2.0
비굴하게,-2.0
비굴하다,-2.0
비굴할,-2.0
비극,-2.0
비꼬는,-2.0
비꼬다,-2.0
비난,-2.0
비난을,-2.0
비난조로,-2.0
비난하는,-2.0
비난하다,-2.0
비난하여,-2.0
비뚤거리다,-1.0
비뚤어져,-1.0
비뚤어지거나,-1.0
비뚤어지다,-1.0
비련,-2.0
비리를,-2.0
비만,-2.0
비만이다,-1.0
비매,-1.0
비방,-1.0
비방과,-2.0
비방하거나,-1.0
비방하다,-1.0
비속하게,-2.0
비싸다,-2.0
비싼,-2.0
비아냥거리다,-2.0
비아냥대다,-2.0
비아냥스럽다,-2.0
비아냥스레,-2.0
비아냥조,-2.0
비아냥하다,-2.0
비열하다,-2.0
비열한,-2.0
비웃거나,-1.0
비웃는,-1.0
비웃다,-1.0
비웃으며,-1.0
비웃음과,-1.0
비웃음을,-1.0
비위상하다,-2.0
비장의,1.0
비정상,-1.0
비정상적으로,-1.0
비정한,-1.0
비좁아,-1.0
비좁은,-1.0
비참,-2.0
비참하다,-2.0
비참한,-2.0
비참히,-2.0
비추천,-2.0
비추하다,-1.0
비탄,-2.0
비탄하다,-2.0
비통하다,-2.0
비통한,-1.0
비틀거리거나,-1.0
비틀거리는,-1.0
비틀거리다,-1.0
비틀거리며,-1.0
비틀어지며,-1.0
비판,-1.0
비판되다,-1.0
비판이나,-1.0
비판하다,-1.0
비판함,-1.0
비평,-1.0
비합리적,-2.0
비합리적인,-1.0
비현실,-2.0
비현실적,-2.0
비효율,-2.0
